Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4333,3.7,exact location,785,continental slope (>200-2000m),0.37,in situ,lander with benthic chambers,TOU,mud/ clay,not investigated,no
Lacaze-Duthiers Canyon,Mediterranean Sea,42.4333,3.7,exact location,785,continental slope (>200-2000m),0.37,in situ,lander with benthic chambers,TOU,mud/ clay,not investigated,no
Station M,Pacific Ocean,34.96,-123.14,exact location,4055,abyssal plain/ continental rise (>2000m),0.37,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Station M,Pacific Ocean,34.7,-122.9,exact location,4133,abyssal plain/ continental rise (>2000m),0.37,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Ceara Rise,Atlantic Ocean,4.7845,-43.3678,approximated location,4685,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with microprofiler,DOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,25,-92.02,approximated location,3400,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Gulf of Mexico,Gulf of Mexico,28,-86.08,approximated location,3650,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,5.1,-139.7,approximated location,4500,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Station M,Pacific Ocean,34.85,-123.16,exact location,4080,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Station M,Pacific Ocean,34.81,-122.93,exact location,4096,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
California,Pacific Ocean,33.3,-118.6,exact location,1300,continental slope (>200-2000m),0.38,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Peru Basin,Pacific Ocean,-7.13,-88.45,exact location,4190,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with benthic chambers,TOU,silt/ clay,not investigated,no
Scotia Sea,Southern Ocean,-58.73,-33.01,exact location,3241,abyssal plain/ continental rise (>2000m),0.38,in situ,lander with microprofiler,DOU,NA,not investigated,no
E Greenland continental margin,Arctic Ocean,79.013,-5.872,exact location,777,continental slope (>200-2000m),0.39,ex situ,core microprofiling,DOU,NA,not investigated,no
Norwegian continental margin,Atlantic Ocean,63.95,1.68,exact location,1780,continental slope (>200-2000m),0.39,in situ,lander with microprofiler,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,1.06,-138.93,exact location,4440,abyssal plain/ continental rise (>2000m),0.39,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Station M,Pacific Ocean,34.78,-122.96,exact location,4070,abyssal plain/ continental rise (>2000m),0.39,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
"San Nicolas, California",Pacific Ocean,32.96,-119.03,approximated location,1800,continental slope (>200-2000m),0.39,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Scotia Sea,Southern Ocean,-59.55,-40.51,exact location,2333,abyssal plain/ continental rise (>2000m),0.39,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.732,-16.581,exact location,4845,abyssal plain/ continental rise (>2000m),0.39696,in situ,lander with benthic chambers,TOU,NA,not investigated,no
N Greenland,Arctic Ocean,75,-12.63,exact location,815,continental slope (>200-2000m),0.4,ex situ ,core incubation,TOU,silt,not investigated,no
Fram Strait,Arctic Ocean,78.505,-2.817,exact location,2558,abyssal plain/ continental rise (>2000m),0.4,ex situ ,core microprofiling,DOU,sand,not investigated,no
Laptev Sea,Arctic Ocean,78.14,133.34,exact location,796,continental slope (>200-2000m),0.4,ex situ ,core microprofiling,DOU,clay,not investigated,no
Celtic continental margin,Atlantic Ocean,49.15,-13.09,exact location,2200,abyssal plain/ continental rise (>2000m),0.4,in situ,lander with benthic chambers,TOU,silt,not investigated,no
Goban Spur,Atlantic Ocean,49.15,-12.92,exact location,2182,abyssal plain/ continental rise (>2000m),0.4,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Norwegian continental margin,Atlantic Ocean,64.17,1.13,exact location,2408,abyssal plain/ continental rise (>2000m),0.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bay of Campeche,Gulf of Mexico,18.5,-94.38,approximated location,72,continental shelf (>50-200m),0.4,ex situ ,core incubation,TOU,silt/ clay,NA,no
Clarion-Clipperton Fracture Zone,Pacific Ocean,12.07,-117.19,exact location,4044,abyssal plain/ continental rise (>2000m),0.4,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
"China, South China Sea",Pacific Ocean,22.6929,117.178,exact location,43,near-shore (0-50m),0.4,ex situ,core microprofiling,DOU,sand,NA,no
Southern Ocean,Southern Ocean,-48.5,-6,exact location,4091,abyssal plain/ continental rise (>2000m),0.4,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,73.77,-157.7,exact location,3648,abyssal plain/ continental rise (>2000m),0.41,ex situ ,core incubation,TOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,79.65,130.6,exact location,3427,abyssal plain/ continental rise (>2000m),0.41,ex situ ,core microprofiling,DOU,clay,not investigated,no
Laptev Sea,Arctic Ocean,78.1,133.53,exact location,532,continental slope (>200-2000m),0.41,ex situ ,core microprofiling,DOU,clay,not investigated,no
Ceara Rise,Atlantic Ocean,4.4164,-43.6537,approximated location,3290,abyssal plain/ continental rise (>2000m),0.41,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.268,119.6745,exact location,3401,abyssal plain/ continental rise (>2000m),0.4108797,ex situ,core microprofiling,DOU,NA,not investigated,no
California,Pacific Ocean,33.3,-118.6,exact location,1300,continental slope (>200-2000m),0.42,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bellingshausen Sea,Southern Ocean,-71.99,-75.28,exact location,446,continental slope (>200-2000m),0.42,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.93,-16.588,exact location,4844,abyssal plain/ continental rise (>2000m),0.42024,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,77.41,118.2,exact location,534,continental slope (>200-2000m),0.43,ex situ ,core microprofiling,DOU,clay,not investigated,no
Cretan Sea ,Mediterranean Sea,35.6778,25.1,approximated location,940,continental slope (>200-2000m),0.43,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
Scotia Sea,Southern Ocean,-59.48,-41.34,exact location,3639,abyssal plain/ continental rise (>2000m),0.43,in situ,lander with microprofiler,DOU,NA,not investigated,no
"Taiwan, South China Sea",Pacific Ocean,21.6771,120.1306,exact location,2571.5,abyssal plain/ continental rise (>2000m),0.4366617,ex situ,core microprofiling,DOU,NA,not investigated,no
N Greenland,Arctic Ocean,74.93,-12.82,exact location,770,continental slope (>200-2000m),0.44,ex situ ,core incubation,TOU,clayey silt,not investigated,no
Porcupine Abyssal Plain (PAP),Atlantic Ocean,48.8333,-16.5833,exact location,4800,abyssal plain/ continental rise (>2000m),0.44,in situ,lander with benthic chambers,TOU,NA,not investigated,no
BENGAL site,Atlantic Ocean,48.83,-16.5,exact location,4850,abyssal plain/ continental rise (>2000m),0.44,in situ,lander with benthic chambers,TOU,NA,not investigated,no
BENGAL site,Atlantic Ocean,48.83,-16.5,exact location,4850,abyssal plain/ continental rise (>2000m),0.44,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Norwegian continental margin,Atlantic Ocean,64.17,1.13,exact location,2408,abyssal plain/ continental rise (>2000m),0.44,in situ,lander with microprofiler,DOU,NA,not investigated,no
Scotia Sea,Southern Ocean,-59.54,-40.82,exact location,2911,abyssal plain/ continental rise (>2000m),0.44,in situ,lander with microprofiler,DOU,NA,not investigated,no
E Greenland continental margin,Arctic Ocean,74.99,-12.77,exact location,568,continental slope (>200-2000m),0.45,ex situ,core microprofiling,DOU,NA,not investigated,no
W European basin,Atlantic Ocean,47,-19,approximated location,3800,abyssal plain/ continental rise (>2000m),0.45,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Lake Hazen,Lake,81.805,-71.527,exact location,53,high arctic,0.45,ex situ,core microprofiling,DOU,NA,not investigated,no
"Saanich Inlet, Vancover Island, BC",Pacific Ocean,48.65,-123.5,approximated location,96,continental shelf (>50-200m),0.45,ex situ,core incubation,TOU,silt,yes,no
Bellingshausen Sea,Southern Ocean,-69.5,-94.17,exact location,3586,abyssal plain/ continental rise (>2000m),0.45,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.809,-16.338,exact location,4846,abyssal plain/ continental rise (>2000m),0.45792,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.63,-157.4,exact location,395,continental slope (>200-2000m),0.46,ex situ ,core incubation,TOU,NA,not investigated,no
Atlantic Ocean,Atlantic Ocean,29.1667,-15.4533,exact location,3610,abyssal plain/ continental rise (>2000m),0.46,ex situ ,core microprofiling,DOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,2,-140.2,approximated location,4300,abyssal plain/ continental rise (>2000m),0.46,in situ,lander with benthic chambers,TOU,NA,not investigated,no
California,Pacific Ocean,33.3,-118.6,exact location,1300,continental slope (>200-2000m),0.46,in situ,lander with benthic chambers,TOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.833,-16.509,exact location,4843,abyssal plain/ continental rise (>2000m),0.4644,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,76.08,-168.1,exact location,600,continental slope (>200-2000m),0.47,ex situ ,core incubation,TOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,38.82,-72.51,exact location,2200,abyssal plain/ continental rise (>2000m),0.47,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
Atlantic Ocean,Atlantic Ocean,5.705,-44.3733,exact location,3770,abyssal plain/ continental rise (>2000m),0.47,in situ,lander with microprofiler,DOU,NA,not investigated,no
Adriatic Sea,Mediterranean Sea,38.485,17.9878,exact location,2360,abyssal plain/ continental rise (>2000m),0.47,in situ,lander with microprofiler,DOU,mud,not investigated,no
California,Pacific Ocean,36.2797,-122.172,exact location,793,continental slope (>200-2000m),0.47,in situ,lander with microprofiler,DOU,NA,not investigated,no
California,Pacific Ocean,35.2,-121.3,exact location,670,continental slope (>200-2000m),0.47,in situ,lander with benthic chambers,TOU,NA,not investigated,no
California,Pacific Ocean,32.4,-120.6,exact location,3707,abyssal plain/ continental rise (>2000m),0.47,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bellingshausen Sea,Southern Ocean,-66.89,-74.12,exact location,3436,abyssal plain/ continental rise (>2000m),0.47,in situ,lander with microprofiler,DOU,NA,not investigated,no
Laptev Sea,Arctic Ocean,77.18,118.73,exact location,107,continental shelf (>50-200m),0.48,ex situ ,core microprofiling,DOU,silt,no,no
BENGAL site,Atlantic Ocean,48.83,-16.5,exact location,4850,abyssal plain/ continental rise (>2000m),0.48,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,5.1,-139.7,approximated location,4500,abyssal plain/ continental rise (>2000m),0.48,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,5.1,-139.7,approximated location,4500,abyssal plain/ continental rise (>2000m),0.48,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,0,-110.5,approximated location,3800,abyssal plain/ continental rise (>2000m),0.48,in situ,lander with benthic chambers,TOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.808,-16.339,exact location,4844,abyssal plain/ continental rise (>2000m),0.4836,in situ,lander with benthic chambers,TOU,NA,not investigated,no
W European basin,Atlantic Ocean,47,-19,approximated location,3800,abyssal plain/ continental rise (>2000m),0.49,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Scotia Sea,Southern Ocean,-57.52,-28.5,exact location,3355,abyssal plain/ continental rise (>2000m),0.49,in situ,lander with microprofiler,DOU,NA,not investigated,no
E Greenland continental margin,Arctic Ocean,78.98,-4.02,exact location,1950,continental slope (>200-2000m),0.5,ex situ,core microprofiling,DOU,NA,not investigated,no
Fram Strait,Arctic Ocean,79.052,4.138,exact location,2493,abyssal plain/ continental rise (>2000m),0.5,ex situ ,lander with benthic chambers,TOU,mud,not investigated,no
Fram Strait,Arctic Ocean,79.065,4.183,exact location,2403,abyssal plain/ continental rise (>2000m),0.5,ex situ ,core microprofiling,DOU,mud,not investigated,no
BENGAL site,Atlantic Ocean,48.83,-16.5,exact location,4850,abyssal plain/ continental rise (>2000m),0.5,in situ,lander with benthic chambers,TOU,NA,not investigated,no
S Atlantic Ocean,Atlantic Ocean,-29.885,8.665,exact location,4986,abyssal plain/ continental rise (>2000m),0.5,in situ,lander with microprofiler,DOU,NA,not investigated,no
Mercer Subglacial Lake,Lake,-82.640287,-149.50134,exact location,1102,subglacial,0.5,ex situ,core microprofiling,DOU,NA,not investigated,yes
Scotia Sea,Southern Ocean,-55.01,-6.01,exact location,3117,abyssal plain/ continental rise (>2000m),0.5,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.921,-16.6,exact location,4839,abyssal plain/ continental rise (>2000m),0.50328,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.9,-158.26,exact location,1450,continental slope (>200-2000m),0.51,ex situ ,core incubation,TOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,39.76,-70.66,exact location,1850,continental slope (>200-2000m),0.51,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
Norwegian continental margin,Atlantic Ocean,63.95,1.68,exact location,1780,continental slope (>200-2000m),0.51,in situ,lander with microprofiler,DOU,NA,not investigated,no
Station M,Pacific Ocean,34.83,-123.1,approximated location,4100,abyssal plain/ continental rise (>2000m),0.51,ex situ ,benthic incubation chamber,TOU,silty clay,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,0,-110.5,approximated location,3800,abyssal plain/ continental rise (>2000m),0.51,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Amundsen Sea,Southern Ocean,-69.86,-118.22,exact location,3108,abyssal plain/ continental rise (>2000m),0.51,in situ,lander with microprofiler,DOU,NA,not investigated,no
Bay of Campeche,Gulf of Mexico,19.23,-92.4,approximated location,52,continental shelf (>50-200m),0.52,ex situ ,core incubation,TOU,silt/ clay,NA,no
equatorial Pacific Ocean,Pacific Ocean,5.1,-139.7,approximated location,4500,abyssal plain/ continental rise (>2000m),0.52,in situ,lander with benthic chambers,TOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.9007,-16.5168,exact location,4810,abyssal plain/ continental rise (>2000m),0.52008,in situ,lander with benthic chambers,TOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.834,-16.501,exact location,4843,abyssal plain/ continental rise (>2000m),0.52608,in situ,lander with benthic chambers,TOU,NA,not investigated,no
N Greenland,Arctic Ocean,69.07,-20.52,exact location,1253,continental slope (>200-2000m),0.53,ex situ ,core incubation,TOU,silt,not investigated,no
Atlantic Ocean,Atlantic Ocean,-23.99,-41.21,exact location,1809,continental slope (>200-2000m),0.53,in situ,lander with benthic chambers,TOU,NA,not investigated,no
equatorial Pacific Ocean,Pacific Ocean,0,-139.9,approximated location,4300,abyssal plain/ continental rise (>2000m),0.53,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bellingshausen Sea,Southern Ocean,-69.86,-88.71,exact location,2646,abyssal plain/ continental rise (>2000m),0.53,in situ,lander with microprofiler,DOU,NA,not investigated,no
NE Atlantic Ocean,Atlantic Ocean,48.93,-16.583,exact location,4804,abyssal plain/ continental rise (>2000m),0.54,in situ,lander with benthic chambers,TOU,NA,not investigated,no
"E Gotland Basin, Baltic Sea",Atlantic Ocean,57.4252,20.0255,exact location,200,continental shelf (>50-200m),0.54,ex situ ,core microprofiling,DOU,NA,not investigated,no
Bay of Campeche,Gulf of Mexico,19.95,-91.87,approximated location,52,continental shelf (>50-200m),0.54,ex situ ,core incubation,TOU,silt/ clay,NA,no
